Team 1,University
QUB Esports,Queen's University Belfast
Riot x2 Flankzy,University of Warwick
karteL,University of Warwick
Easy money,University of Hertfordshire
Warwick Double Pump,University of Warwick
Soloxeter,University of Exeter
NTR,Lancaster University
The BenjyFishys,University of York
Staffs Slimes,Staffordshire University
grown men,University of Nottingham
the teamname field is required,University of Salford
big boys,Newcastle University
UWL Fortnite,University of West London
Durham Decimaters,Durham University
Keele Krakens,Keele University
Naija,Coventry University
UOS Defaults,University of Stirling
Jinx from Fortnite,Lancaster University
rightlids,University College London
we ball,University of Winchester
W Bots,Aston University
Solent Gamers,Southampton Solent University
Durham Dinos,Durham University
bruh,University College London
DU O,Durham University
Birmingham Rings,University of Birmingham
BABA JEE,Bangor University
The Jhug Cugs,Durham University
council and cutlery,University of Stirling
Cracked,Staffordshire University
Bristol Bagels v2,University of Bristol
Overwatch 2 better,University of Kent
