,Team 1,University
0,Roehampton...,Roehampton University
1,Warwick Unresolved,University of Warwick
2,Exeter Emperors,University of Exeter
3,Portsmouth...,University of Portsmouth
4,Carspliff,Cardiff University
5,Bathelona,University of Bath
6,Southampton Saver...,University of Southampton
7,Warwick Dissolve,University of Warwick
8,RocKenteers,University of Kent
9,UWE Sea Stags,University of the West of England
10,Bourne Beach Boys,Bournemouth University
11,IC Trees of Green,Imperial College London
12,Portsmouth Potatoes,University of Portsmouth
13,Bathletico Madrid,University of Bath
14,CES Dragons,"City, University of London"
15,Warwick Dougie FC,University of Warwick
16,Team 33,
17,Sussex Sharks,University of Sussex
18,Cambridge Ravens,University of Cambridge
19,Universally...,University of Southampton
20,Plymouth Leviathans,University of Plymouth
21,Aber Apes,Aberystwyth University
22,Portsmouth Pancakes,University of Portsmouth
23,BSU,Bath Spa University
24,UCL first,University College London
25,Surrey not surrey,University of Surrey
26,Swansea Storm,Swansea University
27,SVGE 69FPS,University of Southampton
28,Warwick Treeflop,University of Warwick
29,Soton Slayers,University of Southampton
30,Cardiff CBA,Cardiff University
31,nO U,Oxford University
32,Bath Bombs,University of Bath
33,Cardiff Crusaders,Cardiff University
34,IC Skies of Blue,Imperial College London
35,UWE Sea Stags Red,University of the West of England
36,Team 73,
37,Kchung and the Krew,University of Southampton
38,Swansea Sausage...,Swansea University
39,Soton Dez Nuts,University of Southampton
40,Portsmouth Penguins,University of Portsmouth
41,Surrey Stags,University of Surrey
42,Kent Kings,University of Kent
43,Perplexeter,University of Exeter
44,Exeter Gently,University of Exeter
45,The Peeping Toms,Coventry University
46,London Legion,College of Esports
47,UWE Sea Stags Black,University of the West of England
48,Portsmouth...,University of Portsmouth
49,Reading Knights,University of Reading
50,Northampton Knights,University of Northampton
51,Winchester Wraiths,University of Winchester
52,Portsmouth Plonkers,University of Portsmouth
53,UWE Sea Stags Hot...,University of the West of England
54,SussexThreshers,University of Sussex
55,0 Past 2,Imperial College London
56,Touch ball Score...,Brunel University
57,KCL CHAOS,King's College London
58,Soton Sharks,University of Southampton
59,UWE Sea Stags White,University of the West of England
60,Team 121,
61,Roehampton...,Roehampton University
62,UOG Monsoon,University of Gloucestershire
63,UWL Wyverns,University of West London
64,What do we think...,Bournemouth University
65,Warwick 163...,University of Warwick
66,Two Man Army,Swansea University
67,KCL LIONS,King's College London
68,Hertfordshire Hares,University of Hertfordshire
69,Swansea...,Swansea University
70,Warwick Rolled,University of Warwick
71,Regain,University of Reading
72,RHUL Royal League,"Royal Holloway, University of London"
73,Imperial March,Imperial College London
74,The Dirty Ducks...,University of Warwick
75,Portsmouth...,University of Portsmouth
76,Solent Seagulls,Southampton Solent University
77,Team 155,
78,Oxfor Brokes Vipas,Oxford Brookes University
80,Godiving into...,Coventry University
81,IC Nothing Wrong...,Imperial College London
82,Chicken Tikka Surrey,University of Surrey
83,Cardiff Rats,Cardiff University
