Standings,Team 1,University
1,City Dragons,"City, University of London"
2,FUNDIES LEGION,University of Exeter
3,UEA Smash,University of East Anglia
4,Toon and CIty,Newcastle University
5,Durham Defenders,Durham University
6,Super Smash Bros FALCAWN PUNCH XDDD,University of Portsmouth
7,Robbin Hoods and their Nairy Zen,University of Nottingham
8,Westminster Dragons,University of Westminster
9,Brunel Thunderballs,Brunel University
10,Durham Defenders B,Durham University
11,OUGES Smash,Oxford University
12,Typhoon,Staffordshire University
13,Swansee You in Bracket,Swansea University
14,Northampton Gorillas 2,University of Northampton
15,OUGES Smash 2_Electric Boogaloo,Oxford University
16,Nair 4 Notts,University of Nottingham
17,Girls just wanna have Brum,University of Birmingham
18,Smash Squad,University of Chichester
19,Saints Smash,University of St Andrews
20,Keele Krakens,Keele University
21,Reading Knights,University of Reading
22,MMU MINOTAURS,Manchester Metropolitan University
23,Leeds Gryphon,University of Leeds
24,SHU Smash Main,Sheffield Hallam University
25,MMU_Cooler Team,Manchester Metropolitan University
26,Smashchester,University of Manchester
27,Liverpool Arctic Foxes,University of Liverpool
28,UWL Wyverns,University of West London
